Ticker,Year,Month,Avg_Close,Avg_Volume,Avg_Return,Monthly_High,Monthly_Low
BOP.KA,2022,6,3.28,2632275.0,-0.91,3.51,3.17
FABL.KA,2024,6,36.89,5098086.0,0.77,46.3,33.62
SBL.KA,2021,11,11.14,96682.0,-1.54,12.82,9.74
SCBPL.KA,2021,4,13.51,10452.0,3.35,15.28,11.81
HMB.KA,2025,7,103.22,479289.0,-0.25,110.47,93.91
BAFL.KA,2023,6,19.45,1437357.0,0.32,20.38,18.45
BAHL.KA,2022,9,31.42,203664.0,-0.7,32.43,30.38
HBL.KA,2022,10,51.54,2044473.0,-0.22,53.11,48.84
MCB.KA,2022,7,68.78,353244.0,-0.63,72.28,65.74
AKBL.KA,2025,9,80.14,2749374.0,-0.03,83.65,73.5
BOP.KA,2022,10,3.16,1129375.0,-0.76,3.27,3.0
BOK.KA,2022,10,9.17,4341.0,1.18,9.41,8.55
SILK.KA,2023,2,0.88,1157175.0,-0.9,0.96,0.8
SCBPL.KA,2021,8,14.63,11935.0,0.79,15.7,13.61
HBL.KA,2026,1,343.49,2199487.0,0.03,361.56,319.07
AKBL.KA,2025,8,69.5,6714378.0,0.24,76.79,63.13
BOP.KA,2025,10,33.61,93102902.0,-0.24,39.28,28.27
HMB.KA,2023,3,19.4,611932.0,-0.17,20.45,18.21
HMB.KA,2025,4,81.75,437627.0,-0.24,90.68,74.6
HBL.KA,2022,7,63.78,407776.0,-0.79,67.99,58.05
HBL.KA,2025,7,203.54,4459793.0,0.86,226.66,173.77
BAHL.KA,2025,10,193.07,771101.0,-0.36,219.42,170.29
SCBPL.KA,2023,9,17.27,62575.0,0.21,19.68,15.95
BAHL.KA,2024,5,83.25,658899.0,0.21,87.18,76.73
SNBL.KA,2026,2,21.47,1032724.0,-1.08,22.84,19.95
SBL.KA,2023,4,7.48,1786.0,0.76,8.6,6.53
SCBPL.KA,2023,4,11.59,60714.0,-0.03,12.51,11.12
HMB.KA,2022,1,22.38,115659.0,0.03,23.05,21.3
HMB.KA,2023,4,18.14,355381.0,-0.54,19.01,17.52
UBL.KA,2022,8,82.07,761543.0,0.16,85.49,74.02
ABL.KA,2022,2,50.84,68050.0,-0.2,53.19,49.14
NBP.KA,2021,6,26.88,1430886.0,-0.11,28.82,25.57
BAHL.KA,2025,9,182.78,529153.0,-0.09,197.47,176.48
BIPL.KA,2023,6,11.77,3405126.0,0.27,12.66,10.37
BIPL.KA,2024,3,17.26,979956.0,-1.04,18.99,16.04
SNBL.KA,2023,11,5.96,1022295.0,-0.13,6.32,5.6
SNBL.KA,2026,3,19.08,929775.0,-0.54,20.99,17.12
SBL.KA,2025,8,9.44,59136.0,-0.48,10.6,8.5
SILK.KA,2023,4,1.03,4481571.0,-0.86,1.27,0.9
UBL.KA,2024,9,244.01,812425.0,0.61,270.73,225.01
BOP.KA,2025,11,32.46,30739016.0,-0.58,34.89,29.64
SNBL.KA,2022,4,5.13,151325.0,0.26,5.3,4.85
SILK.KA,2024,12,1.03,16733552.0,0.0,1.12,0.9
SCBPL.KA,2024,7,52.48,42754.0,-1.81,60.96,46.02
UBL.KA,2025,6,367.9,1502653.0,0.37,494.53,239.81
FABL.KA,2024,2,23.86,1428425.0,0.25,25.55,21.74
SILK.KA,2021,10,1.46,3594048.0,-1.04,1.62,1.34
SILK.KA,2023,6,1.04,1193762.0,-1.88,1.18,0.95
SNBL.KA,2022,11,5.3,12568.0,0.05,5.62,4.93
SILK.KA,2021,12,1.25,3450477.0,-0.66,1.52,1.06
MCB.KA,2021,3,82.14,445370.0,-0.44,83.55,78.55
BAFL.KA,2025,7,83.25,3643086.0,-0.04,89.7,76.74
NBP.KA,2024,3,24.94,4070114.0,-0.67,31.86,21.39
BOK.KA,2022,1,10.7,3938.0,1.76,11.44,9.57
BIPL.KA,2021,9,7.62,2248659.0,1.18,8.79,6.51
SILK.KA,2022,3,1.14,1831457.0,-1.19,1.4,1.04
SCBPL.KA,2024,2,27.18,66800.0,0.05,28.19,25.84
JSBL.KA,2022,10,3.83,93818.0,-0.5,4.09,3.6
UBL.KA,2021,3,75.6,1288349.0,-0.34,78.44,73.74
ABL.KA,2021,5,38.23,126818.0,0.2,39.98,36.44
HBL.KA,2024,5,95.47,2518997.0,-0.02,97.9,93.38
BAHL.KA,2021,11,36.93,371394.0,-0.24,39.51,35.46
BOP.KA,2024,7,4.2,10377587.0,-0.45,4.72,3.74
